antecedents,consequents,support,confidence,lift
"frozenset({'plastic wrap', 'plastic bag'})",frozenset({'coffee cup'}),0.11428571428571428,0.9600000000000001,2.1446808510638298
"frozenset({'paper bowl', 'plastic bag'})",frozenset({'food box'}),0.10476190476190476,1.0,2.142857142857143
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'plastic cup'})",0.12380952380952381,0.7647058823529411,2.1411764705882352
"frozenset({'coffee cup sleeve', 'paper wrapper'})",frozenset({'coffee cup'}),0.10952380952380952,0.9583333333333334,2.1409574468085104
frozenset({'banana peel'}),"frozenset({'plastic cutlery', 'coffee cup'})",0.12857142857142856,0.7941176470588234,2.138009049773755
"frozenset({'coffee cup sleeve', 'food box'})",frozenset({'coffee cup lid'}),0.14761904761904762,0.8857142857142858,2.1379310344827585
"frozenset({'coffee cup sleeve', 'liquids'})",frozenset({'coffee cup lid'}),0.10952380952380952,0.8846153846153846,2.135278514588859
"frozenset({'coffee cup lid', 'aluminium can'})",frozenset({'coffee cup'}),0.20476190476190476,0.9555555555555556,2.1347517730496453
"frozenset({'coffee cup sleeve', 'plastic straw'})",frozenset({'coffee cup lid'}),0.18095238095238095,0.8837209302325582,2.1331194867682437
"frozenset({'coffee cup sleeve', 'paper bowl'})",frozenset({'coffee cup'}),0.1,0.9545454545454546,2.132495164410058
"frozenset({'wrapper', 'waxed food paper'})",frozenset({'plastic wrap'}),0.1,0.9130434782608696,2.130434782608696
frozenset({'banana peel'}),"frozenset({'plastic lid', 'food scraps'})",0.1523809523809524,0.9411764705882353,2.125237191650854
"frozenset({'coffee cup sleeve', 'plastic cup'})",frozenset({'coffee cup lid'}),0.20952380952380953,0.8800000000000001,2.124137931034483
frozenset({'waxed food paper'}),"frozenset({'coffee cup', 'plastic cup'})",0.1,0.7777777777777779,2.1212121212121215
"frozenset({'coffee cup', 'paper wrapper'})",frozenset({'coffee cup lid'}),0.17142857142857143,0.8780487804878049,2.119428090832632
"frozenset({'plastic cutlery', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.1,0.8750000000000001,2.1120689655172415
"frozenset({'plastic cup', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.1,0.8750000000000001,2.1120689655172415
